character	episode	words	profanities
5	80	11.3	13.73
6	80	2.12	12.2
7	80	0.78	0
8	80	0.0	0
9	80	0.0	0
10	80	0.0	0
11	80	0.0	0
1	81	4.48	34.01
2	81	3.78	0
3	81	8.56	3.56
4	81	0.0	0
5	81	4.14	0
6	81	0.0	0
7	81	6.88	4.42
8	81	0.0	0
9	81	0.0	0
10	81	0.0	0
11	81	0.0	0
1	82	17.36	26.79
2	82	3.57	43.48
3	82	5.25	39.41
4	82	0.0	0
5	82	15.74	13.14
6	82	0.0	0
7	82	0.0	0
8	82	0.0	0
9	82	0.0	0
10	82	0.0	0
11	82	0.0	0
1	83	17.87	25.42
2	83	8.51	23.74
3	83	17.59	20.09
4	83	0.0	0
5	83	6.89	7.33
6	83	0.0	0
7	83	1.14	0
8	83	0.0	0
9	83	0.0	0
10	83	0.0	0
11	83	0.0	0
1	84	12.56	25.0
2	84	10.68	26.47
3	84	13.75	9.13
4	84	0.0	0
5	84	5.87	5.35
6	84	6.91	13.64
7	84	0.0	0
8	84	0.0	0
9	84	0.0	0
10	84	0.0	0
11	84	0.0	0
1	85	23.24	9.6
2	85	7.78	12.3
3	85	5.39	11.83
4	85	0.0	0
5	85	35.61	2.69
6	85	0.0	0
7	85	0.0	0
8	85	0.0	0
9	85	0.0	0
10	85	0.89	0
11	85	0.22	0
1	86	34.72	13.01
2	86	5.14	0
3	86	8.47	3.33
4	86	0.0	0
5	86	20.63	5.47
6	86	7.34	0
7	86	0.0	0
8	86	0.0	0
9	86	1.41	40.0
10	86	0.0	0
11	86	0.0	0
1	87	11.04	46.07
2	87	6.19	57.97
3	87	3.77	55.56
4	87	0.0	0
5	87	0.18	0
6	87	0.12	0
7	87	8.17	3.66
8	87	0.0	0
9	87	0.0	0
10	87	0.0	0
11	87	0.12	0
1	88	14.53	23.95
2	88	10.1	0
3	88	17.64	8.22
4	88	0.0	0
5	88	0.0	0
6	88	0.0	0
7	88	0.0	0
8	88	0.0	0
9	88	0.0	0
10	88	0.0	0
11	88	0.0	0
1	89	16.17	21.82
2	89	5.09	17.34
3	89	8.58	6.85
4	89	0.0	0
5	89	1.97	0
6	89	0.0	0
7	89	4.14	70.92
8	89	5.44	16.22
