episode	character	value
4	Other	3
4	Other	1
4	Other	3
4	Other	1
4	Other	3
4	Other	1
4	Other	3
4	Chef	7
4	Stan	9
4	Stan	-1
4	Chef	10
4	Chef	-1
4	Chef	3
4	Mr. Garrison	9
4	Chef	9
4	Mr. Garrison	4
4	Chef	2
4	Chef	-1
4	Chef	2
4	Mr. Garrison	11
4	Mr. Garrison	-1
4	Chef	7
4	Mr. Garrison	9
4	Mr. Garrison	-1
4	Kyle	4
4	Stan	13
4	Cartman	9
4	Other	6
4	Other	-1
4	Other	14
4	Other	-1
4	Other	5
4	Other	-1
4	Other	20
4	Stan	10
4	Kyle	6
4	Stan	6
4	Cartman	7
4	Kyle	10
4	Stan	3
4	Kyle	2
4	Stan	13
4	Other	6
4	Other	1
4	Other	3
4	Other	5
4	Other	35
4	Other	2
4	Other	1
4	Other	-1
4	Other	3
4	Stan	8
4	Other	6
4	Other	52
4	Chef	4
4	Other	13
4	Chef	4
4	Stan	2
4	Other	2
4	Chef	6
4	Kyle	5
4	Chef	8
4	Other	9
4	Mr. Garrison	5
4	Other	11
4	Other	16
4	Other	1
4	Other	8
4	Stan	4
4	Other	5
4	Stan	1
4	Stan	-1
4	Stan	12
4	Other	7
4	Stan	4
4	Stan	-1
4	Stan	2
4	Other	5
4	Other	-1
4	Other	4
4	Other	-1
4	Other	6
4	Other	-1
4	Other	1
4	Other	1
4	Other	3
4	Other	-1
4	Other	2
4	Other	-1
4	Other	5
4	Other	-1
4	Other	9
4	Stan	9
4	Other	11
4	Other	-1
4	Other	10
4	Other	5
4	Other	-1
4	Kyle	16
4	Other	1
4	Other	4
4	Other	7
4	Cartman	5
4	Kyle	2
4	Kyle	-1
4	Kyle	2
4	Chef	3
4	Kyle	2
4	Cartman	8
4	Chef	10
4	Kyle	3
4	Chef	3
4	Kyle	3
4	Cartman	6
4	Kyle	1
4	Other	33
4	Other	2
4	Other	11
4	Other	13
4	Other	7
4	Other	16
4	Other	9
4	Other	2
4	Other	-1
4	Stan	6
4	Other	1
4	Stan	10
4	Other	1
4	Stan	22
4	Stan	-1
4	Stan	2
4	Other	8
4	Stan	4
4	Other	9
4	Other	21
4	Kyle	2
4	Other	15
4	Other	6
4	Other	2
4	Other	12
4	Other	-1
4	Other	12
4	Other	-1
4	Other	14
4	Other	27
4	Other	8
4	Other	1
4	Other	12
4	Kyle	9
4	Other	4
4	Other	2
4	Chef	15
4	Other	19
4	Other	44
4	Other	-1
4	Other	15
4	Other	2
4	Other	-1
4	Other	4
4	Other	-1
4	Other	5
4	Other	-1
4	Other	15
4	Other	-1
4	Other	6
4	Stan	2
4	Stan	-1
4	Stan	12
4	Other	3
4	Other	18
4	Other	2
4	Other	10
4	Other	3
4	Other	1
4	Other	6
4	Mr. Garrison	14
4	Other	9
4	Other	1
4	Mr. Garrison	10
4	Stan	4
4	Stan	-1
4	Stan	1
4	Other	1
4	Other	15
4	Stan	14
4	Other	18
4	Other	-1
4	Other	6
4	Stan	3
4	Stan	-1
4	Stan	3
4	Other	4
4	Kyle	1
4	Other	20
4	Mr. Garrison	12
4	Other	10
4	Other	5
4	Other	14
4	Other	1
4	Other	1
4	Other	7
4	Chef	7
4	Stan	7
4	Chef	5
4	Other	23
4	Other	3
4	Stan	1
4	Other	9
4	Kyle	7
4	Stan	1
4	Other	10
4	Kyle	1
4	Other	6
4	Other	-1
4	Other	6
4	Other	1
4	Other	1
4	Other	1
4	Mr. Garrison	1
4	Other	22
4	Other	2
4	Other	1
4	Other	14
4	Stan	13
4	Other	2
4	Stan	11
4	Other	1
4	Stan	5
4	Stan	-1
4	Other	1
4	Stan	1
4	Stan	-1
4	Stan	9
4	Mr. Garrison	7
4	Other	15
4	Stan	7
4	Stan	-1
4	Stan	6
4	Stan	-1
4	Stan	8
4	Stan	-1
4	Stan	16
4	Stan	16
4	Cartman	16
4	Other	10
4	Other	1
4	Other	1
4	Other	1
4	Other	11
4	Stan	8
4	Other	20
4	Stan	1
4	Other	8
4	Mr. Garrison	2
4	Other	8
4	Other	1
4	Other	1
4	Other	1
5	Cartman	8
5	Stan	5
5	Cartman	7
5	Stan	1
5	Cartman	8
5	Cartman	-1
5	Stan	17
5	Kyle	7
5	Kyle	-1
5	Kyle	5
5	Cartman	8
5	Cartman	-1
5	Cartman	11
5	Cartman	-2
