character	episode	words	profanities
10	66	0.0	0
11	66	0.0	0
1	67	3.68	88.5
2	67	0.0	0
3	67	11.57	25.35
4	67	0.16	0
5	67	2.51	0
6	67	0.0	0
7	67	5.64	23.12
8	67	0.0	0
9	67	0.0	0
10	67	0.0	0
11	67	0.0	0
1	68	11.79	7.33
2	68	14.45	9.98
3	68	14.07	6.15
4	68	0.0	0
5	68	2.22	0
6	68	0.0	0
7	68	0.0	0
8	68	0.0	0
9	68	0.0	0
10	68	0.0	0
11	68	0.0	0
1	69	54.88	7.45
2	69	5.8	4.69
3	69	2.97	18.35
4	69	0.14	0
5	69	0.16	0
6	69	0.6	0
7	69	0.0	0
8	69	0.0	0
9	69	0.0	0
10	69	0.08	0
11	69	0.0	0
1	70	3.4	14.93
2	70	10.01	7.61
3	70	7.87	6.45
4	70	0.28	0
5	70	0.25	0
6	70	0.0	0
7	70	0.0	0
8	70	0.0	0
9	70	0.18	0
10	70	0.56	0
11	70	0.0	0
1	71	36.17	14.87
2	71	15.08	7.13
3	71	9.06	23.74
4	71	0.75	0
5	71	0.99	0
6	71	0.0	0
7	71	0.0	0
8	71	0.0	0
9	71	0.59	0
10	71	0.32	0
11	71	0.0	0
1	72	7.96	13.89
2	72	4.34	12.74
3	72	8.1	30.72
4	72	0.41	0
5	72	5.23	5.29
6	72	6.03	41.28
7	72	2.02	27.4
8	72	1.82	60.61
9	72	6.41	38.79
10	72	0.41	0
11	72	0.0	0
1	73	9.82	9.12
2	73	14.38	6.22
3	73	18.11	8.24
4	73	0.42	71.43
5	73	0.0	0
6	73	0.0	0
7	73	0.03	0
8	73	0.0	0
9	73	0.69	0
10	73	0.0	0
11	73	0.0	0
1	74	17.15	26.2
2	74	11.57	16.18
3	74	21.68	3.45
4	74	0.56	266.67
5	74	1.68	0
6	74	0.0	0
7	74	1.72	0
8	74	1.27	0
9	74	0.0	0
10	74	0.0	0
11	74	0.0	0
1	75	22.07	5.35
2	75	7.33	16.13
3	75	4.43	6.67
4	75	0.18	166.67
5	75	5.55	5.32
6	75	0.0	0
7	75	0.0	0
8	75	0.0	0
9	75	0.41	0
10	75	0.53	111.11
11	75	0.24	125.0
1	76	6.88	33.96
2	76	21.35	3.65
3	76	1.66	46.88
4	76	0.0	0
5	76	0.0	0
6	76	0.0	0
7	76	2.08	12.5
8	76	0.0	0
9	76	17.36	14.95
10	76	0.0	0
11	76	0.0	0
1	77	7.08	29.05
2	77	3.55	41.32
3	77	4.26	20.69
4	77	0.03	0
5	77	1.79	0
6	77	1.17	0
7	77	0.38	0
8	77	0.0	0
9	77	8.98	3.27
10	77	0.03	0
11	77	0.35	83.33
1	78	38.3	11.99
2	78	13.01	9.41
3	78	9.12	0
4	78	1.81	33.9
5	78	3.83	40.0
6	78	5.7	0
7	78	0.83	0
8	78	0.0	0
9	78	0.98	0
10	78	0.0	0
11	78	0.0	0
1	79	0.11	0
2	79	0.0	0
3	79	0.52	52.63
4	79	0.0	0
5	79	34.5	2.36
6	79	0.0	0
7	79	0.0	0
8	79	0.0	0
9	79	0.24	0
10	79	0.0	0
11	79	0.0	0
1	80	20.39	21.85
2	80	10.14	20.67
3	80	9.56	8.22
4	80	0.0	0
5	80	11.29	13.92
6	80	2.15	12.2
7	80	0.79	0
8	80	0.0	0
9	80	0.0	0
10	80	0.0	0
11	80	0.0	0
1	81	4.44	6.94
2	81	3.79	8.13
3	81	8.66	7.12
4	81	0.0	0
5	81	4.1	0
6	81	0.0	0
7	81	6.97	4.42
8	81	0.0	0
9	81	0.0	0
10	81	0.0	0
11	81	0.0	0
1	82	16.93	18.6
2	82	3.6	29.2
3	82	5.33	9.85
4	82	0.0	0
5	82	15.8	8.31
6	82	0.0	0
7	82	0.0	0
8	82	0.0	0
9	82	0.0	0
10	82	0.0	0
11	82	0.0	0
1	83	17.83	20.06
2	83	8.56	14.93
3	83	17.53	8.75
4	83	0.0	0
5	83	6.92	7.38
6	83	0.0	0
7	83	1.15	0
8	83	0.0	0
9	83	0.0	0
10	83	0.0	0
11	83	0.0	0
1	84	12.58	20.41
2	84	10.72	23.95
3	84	13.92	2.3
4	84	0.0	0
5	84	5.9	10.87
6	84	6.71	4.78
7	84	0.0	0
8	84	0.0	0
9	84	0.0	0
10	84	0.0	0
11	84	0.0	0
1	85	23.59	6.93
2	85	7.59	4.31
3	85	5.43	0
4	85	0.0	0
5	85	35.34	3.7
6	85	0.0	0
7	85	0.0	0
8	85	0.0	0
9	85	0.0	0
10	85	0.92	0
11	85	0.23	0
1	86	34.57	10.8
2	86	5.23	0
3	86	8.61	0
4	86	0.0	0
5	86	20.47	2.81
6	86	7.32	0
7	86	0.0	0
8	86	0.0	0
9	86	1.44	0
10	86	0.0	0
11	86	0.0	0
