character	episode	value
1	161	28.91
2	161	16.89
3	161	0
4	161	0
5	161	0
6	161	0
7	161	0
8	161	0
9	161	0
10	161	0
11	161	40.82
1	162	0
2	162	0
3	162	21.05
4	162	0
5	162	0
6	162	0
7	162	10.56
8	162	0
9	162	0
10	162	0
11	162	0
1	163	32.38
2	163	23.05
3	163	30.93
4	163	0
5	163	7.72
6	163	0
7	163	0
8	163	0
9	163	0
10	163	0
11	163	76.92
1	164	25.05
2	164	11.63
3	164	0
4	164	0
5	164	6.06
6	164	0
7	164	0
8	164	0
9	164	0
10	164	0
11	164	0
1	165	27.72
2	165	23.66
3	165	5.46
4	165	0
5	165	15.75
6	165	0
7	165	0
8	165	0
9	165	0
10	165	0
11	165	0
1	166	48.39
2	166	12.35
3	166	4.5
4	166	0
5	166	12.5
6	166	0
7	166	0
8	166	0
9	166	0
10	166	0
11	166	0
1	167	27.2
2	167	2.8
3	167	3.64
4	167	0
5	167	6.29
6	167	0
7	167	0
8	167	0
9	167	0
10	167	8.33
11	167	0
1	168	22.22
2	168	13.59
3	168	0
4	168	0
5	168	0
6	168	0
7	168	0
8	168	0
9	168	0
10	168	0
11	168	0
1	169	62.5
2	169	14.33
3	169	10.6
4	169	0
5	169	0
6	169	0
7	169	0
8	169	0
9	169	0
10	169	0
11	169	0
1	170	16.04
2	170	3.94
3	170	0
4	170	67.8
5	170	0
6	170	0
7	170	55.56
8	170	0
9	170	0
10	170	0
11	170	0
1	171	55.56
2	171	2.96
3	171	0
4	171	0
5	171	105.99
6	171	0
7	171	0
8	171	0
9	171	0
10	171	0
11	171	0
1	172	0
2	172	16.39
3	172	0
4	172	0
5	172	37.04
6	172	0
7	172	0
8	172	0
9	172	13.89
10	172	0
11	172	0
1	173	0
2	173	0
3	173	0
4	173	0
5	173	0
6	173	0
7	173	5.04
8	173	0
9	173	0
10	173	0
11	173	0
1	174	43.76
2	174	0
3	174	0
4	174	38.46
5	174	0
6	174	0
7	174	0
8	174	32.79
9	174	21.9
10	174	0
11	174	0
1	175	31.52
2	175	0
3	175	4.0
4	175	1000.0
5	175	4.2
6	175	0
7	175	0
8	175	0
9	175	0
10	175	0
11	175	0
1	176	16.46
2	176	0
3	176	0
4	176	0
5	176	27.17
6	176	0
7	176	0
8	176	24.18
9	176	9.17
10	176	0
11	176	17.54
1	177	35.71
2	177	12.5
3	177	7.96
4	177	61.22
5	177	0
6	177	0
7	177	0
8	177	0
9	177	0
10	177	0
11	177	11.15
1	178	17.09
2	178	0
3	178	3.92
4	178	142.86
5	178	0
6	178	0
7	178	2.15
8	178	0
9	178	0
10	178	0
11	178	0
1	179	0
2	179	5.24
3	179	10.42
4	179	0
5	179	0
6	179	0
7	179	39.34
8	179	0
9	179	0
10	179	0
11	179	0
1	180	14.71
2	180	0
3	180	5.33
4	180	0
5	180	0
6	180	0
7	180	0
8	180	0
9	180	0
10	180	0
11	180	0
1	181	84.91
2	181	66.67
3	181	0
4	181	0
5	181	2.8
6	181	0
7	181	0
8	181	0
9	181	0
10	181	0
11	181	0
1	182	21.47
2	182	14.49
3	182	4.95
4	182	28.57
5	182	8.33
6	182	0
7	182	0
8	182	0
9	182	0
10	182	0
11	182	0
1	183	17.32
2	183	0
3	183	0
4	183	0
5	183	0
6	183	0
7	183	0
8	183	0
9	183	0
10	183	0
11	183	0
1	184	24.39
2	184	8.06
3	184	0
4	184	0
5	184	0
6	184	0
7	184	4.5
8	184	0
9	184	0
10	184	0
11	184	0
1	185	42.07
2	185	27.03
3	185	15.04
4	185	0
5	185	0
6	185	0
7	185	15.96
8	185	17.86
9	185	0
10	185	50.0
11	185	0
1	186	15.64
2	186	0
3	186	0
4	186	0
5	186	31.75
6	186	0
7	186	0
8	186	76.92
9	186	0
10	186	0
11	186	0
1	187	0
2	187	0
3	187	4.59
4	187	0
5	187	0
6	187	0
7	187	5.68
8	187	0
9	187	0
10	187	0
11	187	0
1	188	19.49
2	188	12.99
3	188	0
4	188	0
5	188	0
6	188	0
7	188	0
8	188	0
9	188	0
10	188	0
11	188	0
1	189	5.49
2	189	10.78
3	189	10.2
4	189	222.22
5	189	0
6	189	0
7	189	0
8	189	0
9	189	0
10	189	0
11	189	0
1	190	44.12
2	190	45.45
3	190	115.38
4	190	0
5	190	25.57
6	190	0
7	190	0
8	190	0
9	190	86.96
